r,z,T
0.00021132486540476693,0.0,336.7080228108357
0.0007886751345932446,0.0,336.70801046971314
0.0012113248654028559,0.0,336.70799488662
0.0017886751345915456,0.0,336.7079646539405
0.0022113248654010847,0.0,336.707935574685
0.0027886751345893653,0.0,336.70788636136115
0.00321132486539861,0.0,336.7078432234768
0.0037886751345864948,0.0,336.70777458190906
0.004211324865395624,0.0,336.7077172274171
0.0047886751345835865,0.0,336.7076291735987
0.0052113248653927365,0.0,336.70755768581927
0.00578867513458068,0.0,336.70745043139203
0.006211324865389814,0.0,336.70736468382455
0.006788675134577738,0.0,336.7072376715408
0.007211324865386881,0.0,336.7071376945656
0.0077886751345748444,0.0,336.70699156467344
0.008211324865383937,0.0,336.7068773228709
0.008788675134571721,0.0,336.7067113383541
0.009211324865380935,0.0,336.7065827128203
0.009788675134569231,0.0,336.70639728584354
0.010211324865379633,0.0,336.7062544518875
0.010788675134570668,0.0,336.7060496492394
0.011211324865382117,0.0,336.70589264710736
0.011788675134573264,0.0,336.70566851195395
0.012211324865384812,0.0,336.70549724371017
0.012788675134576119,0.0,336.7052534653199
0.013211324865387637,0.0,336.7050678130082
0.013788675134578711,0.0,336.7048043798502
0.014211324865390116,0.0,336.7046044680239
0.014788675134581111,0.0,336.70432173191534
0.015211324865392489,0.0,336.7041076175084
0.015788675134583482,0.0,336.7038053821783
0.016211324865395213,0.0,336.70357698096245
0.016788675134587185,0.0,336.70325521256643
0.017211324865398787,0.0,336.70301251998296
0.01778867513458943,0.0,336.7026712399105
0.018211324865400377,0.0,336.70241429621865
0.01878867513459055,0.0,336.70205359307016
0.019211324865401988,0.0,336.7017823852319
0.019788675134593956,0.0,336.7014021347869
0.020211324865405188,0.0,336.51858364005426
0.020788675134594814,0.0,336.01949447432645
0.021211324865404627,0.0,335.663039553001
0.021788675134592716,0.0,335.1882757630597
0.022211324865402032,0.0,334.8483167457915
0.0227886751345903,0.0,334.3942952280649
0.023211324865399546,0.0,334.0689465563354
0.023788675134587454,0.0,333.6340989727218
0.024211324865396785,0.0,333.32226784895227
0.024788675134585287,0.0,332.9051769590461
0.02521132486539482,0.0,332.6058351261285
0.025788675134583272,0.0,332.20510891967297
0.026211324865392797,0.0,331.9172945831422
0.026788675134581275,0.0,331.531697399049
0.027211324865390518,0.0,331.25455426340824
0.027788675134578215,0.0,330.88298231996214
0.028211324865387015,0.0,330.6157455258902
0.028788675134574275,0.0,330.2572129702801
0.02921132486538332,0.0,329.9991978337418
0.029788675134571695,0.0,329.6528199272073
0.03021132486538067,0.0,329.4034107586513
0.03078867513456774,0.0,329.0683901448172
0.031211324865376186,0.0,328.82703109204533
0.031788675134563106,0.0,328.50264651083995
0.03221132486537264,0.0,328.26883397089273
0.032788675134562684,0.0,327.9544308135155
0.03321132486537295,0.0,327.72770704940626
0.03378867513456185,0.0,327.4226893639538
0.03421132486537032,0.0,327.2026370829402
0.03478867513455545,0.0,326.9064607563422
0.03521132486536396,0.0,326.6926984733333
0.03578867513455303,0.0,326.4048653820088
0.03621132486536457,0.0,326.1970434323915
0.036788675134557955,0.0,325.9170963984335
0.0372113248653705,0.0,325.7148934927055
0.03778867513456231,0.0,325.44241191477647
0.038211324865373486,0.0,325.2455321482868
0.03878867513456312,0.0,324.9801282011841
0.039211324865374805,0.0,324.7882984484567
0.03978867513456803,0.0,324.5296137647051
0.04021132486537986,0.0,324.3425814005842
0.04078867513456985,0.0,324.09028416289783
0.04121132486538085,0.0,323.9078150630726
0.04178867513457182,0.0,323.66159744922504
0.04221132486538308,0.0,323.48347423142616
0.04278867513457375,0.0,323.2430501642396
0.04321132486538523,0.0,323.069070639487
0.043788675134576835,0.0,322.8341738055727
0.04421132486538792,0.0,322.66414961771824
0.04478867513457749,0.0,322.4345317318986
0.04521132486538922,0.0,322.26828717454464
0.0457886751345826,0.0,322.0437164831916
0.04621132486539431,0.0,321.88108748012183
0.04678867513458383,0.0,321.6613474723041
0.04721132486539495,0.0,321.5021801477175
0.04778867513458672,0.0,321.28706693786006
0.048211324865398676,0.0,321.13121715015745
0.04878867513459049,0.0,320.92054082166254
0.04921132486540168,0.0,320.7678637703069
0.04978867513459136,0.0,320.56141863734854
0.05021132486540248,0.0,320.411761193137
0.050788675134594084,0.0,320.2093345847785
0.05121132486540518,0.0,320.06265447803946
0.051788675134594814,0.0,319.86434358232714
0.05221132486540061,0.0,319.79166964770013
0.05278867513457772,0.0,319.79143166162544
0.05321132486538809,0.0,319.7912589622082
0.05378867513459024,0.0,319.7910251247006
0.05421132486540062,0.0,319.7223175187918
0.05478867513457772,0.0,319.53483868609004
0.05521132486537893,0.0,319.3988366826719
0.055788675134556036,0.0,319.2147511321042
0.05621132486536641,0.0,319.0811603582656
0.05678867513456855,0.0,318.9002691272839
0.05721132486538809,0.0,318.76898804668957
0.05778867513459024,0.0,318.59121269541515
