r,z,T_FEM,T_analytic,dT
0.00021132486540476693,0.0,336.7080228108357,337.1256179932965,-0.4175951824607864
0.0007886751345932446,0.0,336.70801046971314,337.1256082471626,-0.41759777744942994
0.0012113248654028559,0.0,336.70799488662,337.12559397783224,-0.4175990912122529
0.0017886751345915456,0.0,336.7079646539405,337.1255647394306,-0.41760008549010763
0.0022113248654010847,0.0,336.707935574685,337.1255362007699,-0.4176006260848908
0.0027886751345893653,0.0,336.70788636136115,337.1254874701005,-0.41760110873934764
0.00321132486539861,0.0,336.7078432234768,337.12544466210943,-0.4176014386326301
0.0037886751345864948,0.0,336.70777458190906,337.12537643917227,-0.4176018572632074
0.004211324865395624,0.0,336.7077172274171,337.12531936185087,-0.41760213443376415
0.0047886751345835865,0.0,336.7076291735987,337.125231646646,-0.4176024730472818
0.0052113248653927365,0.0,336.70755768581927,337.1251602999942,-0.41760261417493894
0.00578867513458068,0.0,336.70745043139203,337.12505309252157,-0.4176026611295356
0.006211324865389814,0.0,336.70736468382455,337.12496747653944,-0.417602792714888
0.006788675134577738,0.0,336.7072376715408,337.12484077679903,-0.4176031052582516
0.007211324865386881,0.0,336.7071376945656,337.12474089148657,-0.417603196920993
0.0077886751345748444,0.0,336.70699156467344,337.1245946994784,-0.41760313480494915
0.008211324865383937,0.0,336.7068773228709,337.1244805448356,-0.4176032219646686
0.008788675134571721,0.0,336.7067113383541,337.12431486055965,-0.41760352220552477
0.009211324865380935,0.0,336.7065827128203,337.12418643658646,-0.41760372376614896
0.009788675134569231,0.0,336.70639728584354,337.12400126004275,-0.4176039741992099
0.010211324865379633,0.0,336.7062544518875,337.1238585667393,-0.41760411485176974
0.010788675134570668,0.0,336.7060496492394,337.1236538979278,-0.41760424868840573
0.011211324865382117,0.0,336.70589264710736,337.12349693529393,-0.4176042881865669
0.011788675134573264,0.0,336.70566851195395,337.12327277421474,-0.41760426226079517
0.012211324865384812,0.0,336.70549724371017,337.1231015422505,-0.41760429854031145
0.012788675134576119,0.0,336.7052534653199,337.1228578889035,-0.4176044235836116
0.013211324865387637,0.0,336.7050678130082,337.12267238760893,-0.4176045746007162
0.013788675134578711,0.0,336.7048043798502,337.12240924199426,-0.41760486214406
0.014211324865390116,0.0,336.7046044680239,337.1222094713693,-0.4176050033453862
0.014788675134581111,0.0,336.70432173191534,337.12192683348684,-0.4176051015714961
0.015211324865392489,0.0,336.7041076175084,337.1217127935315,-0.4176051760231303
0.015788675134583482,0.0,336.7038053821783,337.1214106633813,-0.4176052812030093
0.016211324865395213,0.0,336.70357698096245,337.12118235409565,-0.417605373133199
0.016788675134587185,0.0,336.70325521256643,337.1208607316777,-0.4176055191112482
0.017211324865398787,0.0,336.70301251998296,337.1206181530617,-0.4176056330787219
0.01778867513458943,0.0,336.7026712399105,337.12027703837595,-0.4176057984654449
0.018211324865400377,0.0,336.70241429621865,337.1200201904296,-0.41760589421096483
0.01878867513459055,0.0,336.70205359307016,337.1196595834761,-0.4176059904059457
0.019211324865401988,0.0,336.7017823852319,337.1193884661994,-0.41760608096745955
0.019788675134593956,0.0,336.7014021347869,337.11900836697816,-0.4176062321912468
0.020211324865405188,0.0,336.51858364005426,336.93286991613655,-0.4142862760822936
0.020788675134594814,0.0,336.01949447432645,336.43446443930605,-0.4149699649796048
0.021211324865404627,0.0,335.663039553001,336.0783049268106,-0.41526537380957507
0.021788675134592716,0.0,335.1882757630597,335.60308395456815,-0.4148081915084276
0.022211324865402032,0.0,334.8483167457915,335.26311453044997,-0.41479778465844674
0.0227886751345903,0.0,334.3942952280649,334.80901686235535,-0.4147216342904585
0.023211324865399546,0.0,334.0689465563354,334.4838295684081,-0.41488301207272116
0.023788675134587454,0.0,333.6340989727218,334.04905719270056,-0.41495821997875737
0.024211324865396785,0.0,333.32226784895227,333.7374200849499,-0.4151522359976525
0.024788675134585287,0.0,332.9051769590461,333.3203951980945,-0.41521823904838584
0.02521132486539482,0.0,332.6058351261285,333.02122418086157,-0.41538905473305476
0.025788675134583272,0.0,332.20510891967297,332.62055463704843,-0.4154457173754622
0.026211324865392797,0.0,331.9172945831422,332.33289071433535,-0.41559613119312644
0.026788675134581275,0.0,331.531697399049,331.94734199565505,-0.41564459660605735
0.027211324865390518,0.0,331.25455426340824,331.67033273580853,-0.41577847240029087
0.027788675134578215,0.0,330.88298231996214,331.2988050200028,-0.41582270004067823
0.028211324865387015,0.0,330.6157455258902,331.03168933067525,-0.41594380478505855
0.028788675134574275,0.0,330.2572129702801,330.6731985829964,-0.4159856127163266
0.02921132486538332,0.0,329.9991978337418,330.41529411141926,-0.41609627767746815
0.029788675134571695,0.0,329.6528199272073,330.06895638193316,-0.4161364547258586
0.03021132486538067,0.0,329.4034107586513,329.8196490153751,-0.4162382567237728
0.03078867513456774,0.0,329.0683901448172,329.4846673109847,-0.41627716616750376
0.031211324865376186,0.0,328.82703109204533,329.2434023708541,-0.4163712788087537
0.031788675134563106,0.0,328.50264651083995,328.91905561150253,-0.41640910066257675
0.03221132486537264,0.0,328.26883397089273,328.68533042350145,-0.41649645260872603
0.032788675134562684,0.0,327.9544308135155,328.3709640977176,-0.416533284202103
0.03321132486537295,0.0,327.72770704940626,328.1443216878338,-0.416614638427518
0.03378867513456185,0.0,327.4226893639538,327.83933990320116,-0.41665053924737094
0.03421132486537032,0.0,327.2026370829402,327.61936362083514,-0.41672653789493097
0.03478867513455545,0.0,326.9064607563422,327.32322230673134,-0.41676155038913976
0.03521132486536396,0.0,326.6926984733333,327.10953121600573,-0.4168327426724545
0.03578867513455303,0.0,326.4048653820088,326.8217322838398,-0.41686690183104247
0.03621132486536457,0.0,326.1970434323915,326.6139771950568,-0.4169337626652805
0.036788675134557955,0.0,325.9170963984335,326.3340634985941,-0.4169671001606048
0.0372113248653705,0.0,325.7148934927055,326.1319235360212,-0.4170300433156626
0.03778867513456231,0.0,325.44241191477647,325.859474503742,-0.4170625889655071
0.038211324865373486,0.0,325.2455321482868,325.6626541250301,-0.41712197674326035
0.03878867513456312,0.0,324.9801282011841,325.3972819597775,-0.41715375859342885
0.039211324865374805,0.0,324.7882984484567,325.2055083575289,-0.41720990907219857
0.03978867513456803,0.0,324.5296137647051,324.9468547172743,-0.41724095256915916
0.04021132486537986,0.0,324.3425814005842,324.7598755454389,-0.4172941448546794
0.04078867513456985,0.0,324.09028416289783,324.5076086338817,-0.4173244709838855
0.04121132486538085,0.0,323.9078150630726,324.32519001143424,-0.4173749483616689
0.04178867513457182,0.0,323.66159744922504,324.07900201915095,-0.4174045699259068
0.04221132486538308,0.0,323.48347423142616,323.9009267714381,-0.41745254001193643
0.04278867513457375,0.0,323.2430501642396,323.6605316181179,-0.4174814538782812
0.04321132486538523,0.0,323.069070639487,323.48659772271265,-0.41752708322565013
0.043788675134576835,0.0,322.8341738055727,323.2517290589212,-0.4175552533485529
0.04421132486538792,0.0,322.66414961771824,323.08174826809227,-0.4175986503740319
0.04478867513457749,0.0,322.4345317318986,322.852157701582,-0.4176259696833995
